,iso2,year,Cases,sex,age
0,AD,1996,0.0,f,0-14
1,AD,1996,1.0,f,15-24
2,AD,1996,1.0,f,25-34
3,AD,1996,0.0,f,35-44
4,AD,1996,0.0,f,45-54
5,AD,1996,1.0,f,55-64
6,AD,1996,0.0,f,65
7,AD,1996,0.0,m,0-14
8,AD,1996,0.0,m,15-24
9,AD,1996,0.0,m,25-34
10,AD,1996,4.0,m,35-44
11,AD,1996,1.0,m,45-54
12,AD,1996,0.0,m,55-64
13,AD,1996,0.0,m,65
14,AD,1997,0.0,f,0-14
15,AD,1997,1.0,f,15-24
16,AD,1997,2.0,f,25-34
17,AD,1997,3.0,f,35-44
18,AD,1997,0.0,f,45-54
19,AD,1997,0.0,f,55-64
20,AD,1997,1.0,f,65
21,AD,1997,0.0,m,0-14
22,AD,1997,0.0,m,15-24
23,AD,1997,1.0,m,25-34
24,AD,1997,2.0,m,35-44
25,AD,1997,2.0,m,45-54
26,AD,1997,1.0,m,55-64
27,AD,1997,6.0,m,65
28,AD,1998,0.0,m,0-14
29,AD,1998,0.0,m,15-24
30,AD,1998,0.0,m,25-34
31,AD,1998,1.0,m,35-44
32,AD,1998,0.0,m,45-54
33,AD,1998,0.0,m,55-64
34,AD,1998,0.0,m,65
35,AD,1999,0.0,f,0-14
36,AD,1999,0.0,f,15-24
37,AD,1999,0.0,f,25-34
38,AD,1999,1.0,f,35-44
39,AD,1999,0.0,f,45-54
40,AD,1999,0.0,f,55-64
41,AD,1999,0.0,f,65
42,AD,1999,0.0,m,0-14
43,AD,1999,0.0,m,15-24
44,AD,1999,0.0,m,25-34
45,AD,1999,1.0,m,35-44
46,AD,1999,1.0,m,45-54
47,AD,1999,0.0,m,55-64
48,AD,1999,0.0,m,65
49,AD,2000,0.0,m,0-14
50,AD,2000,0.0,m,15-24
51,AD,2000,1.0,m,25-34
52,AD,2000,0.0,m,35-44
53,AD,2000,0.0,m,45-54
54,AD,2000,0.0,m,55-64
55,AD,2000,0.0,m,65
56,AD,2001,0.0,m,0-14
57,AD,2001,2.0,m,35-44
58,AD,2001,1.0,m,45-54
59,AD,2002,0.0,f,0-14
60,AD,2002,1.0,f,15-24
61,AD,2002,0.0,f,25-34
62,AD,2002,0.0,f,35-44
63,AD,2002,0.0,f,45-54
64,AD,2002,0.0,f,55-64
65,AD,2002,0.0,f,65
66,AD,2002,0.0,m,0-14
67,AD,2002,0.0,m,15-24
68,AD,2002,0.0,m,25-34
69,AD,2002,1.0,m,35-44
70,AD,2002,0.0,m,45-54
71,AD,2002,0.0,m,55-64
72,AD,2002,0.0,m,65
73,AD,2003,0.0,f,0-14
74,AD,2003,1.0,f,15-24
75,AD,2003,1.0,f,25-34
76,AD,2003,1.0,f,35-44
77,AD,2003,0.0,f,45-54
78,AD,2003,0.0,f,55-64
79,AD,2003,0.0,f,65
80,AD,2003,0.0,m,0-14
81,AD,2003,0.0,m,15-24
82,AD,2003,0.0,m,25-34
83,AD,2003,1.0,m,35-44
84,AD,2003,2.0,m,45-54
85,AD,2003,0.0,m,55-64
86,AD,2003,0.0,m,65
87,AD,2004,0.0,f,0-14
88,AD,2004,0.0,f,15-24
89,AD,2004,1.0,f,25-34
90,AD,2004,0.0,f,35-44
91,AD,2004,0.0,f,45-54
92,AD,2004,0.0,f,55-64
93,AD,2004,0.0,f,65
94,AD,2004,0.0,m,0-14
95,AD,2004,0.0,m,15-24
96,AD,2004,0.0,m,25-34
97,AD,2004,1.0,m,35-44
98,AD,2004,1.0,m,45-54
99,AD,2004,0.0,m,55-64
100,AD,2004,0.0,m,65
101,AD,2005,0.0,f,0-14
102,AD,2005,1.0,f,15-24
103,AD,2005,1.0,f,25-34
104,AD,2005,1.0,f,35-44
105,AD,2005,0.0,f,45-54
106,AD,2005,0.0,f,55-64
107,AD,2005,0.0,f,65
108,AD,2005,0.0,f,unknown
109,AD,2005,0.0,m,0-14
110,AD,2005,0.0,m,15-24
111,AD,2005,1.0,m,25-34
112,AD,2005,1.0,m,35-44
113,AD,2005,0.0,m,45-54
114,AD,2005,0.0,m,55-64
115,AD,2005,0.0,m,65
116,AD,2005,0.0,m,unknown
117,AD,2006,0.0,f,0-14
118,AD,2006,0.0,f,15-24
119,AD,2006,1.0,f,25-34
120,AD,2006,0.0,f,35-44
121,AD,2006,1.0,f,45-54
122,AD,2006,0.0,f,55-64
123,AD,2006,0.0,f,65
124,AD,2006,0.0,f,unknown
125,AD,2006,0.0,m,0-14
126,AD,2006,1.0,m,15-24
127,AD,2006,1.0,m,25-34
128,AD,2006,2.0,m,35-44
129,AD,2006,0.0,m,45-54
130,AD,2006,1.0,m,55-64
131,AD,2006,1.0,m,65
132,AD,2006,0.0,m,unknown
133,AD,2007,1.0,f,25-34
134,AD,2007,1.0,f,45-54
135,AD,2008,0.0,f,0-14
136,AD,2008,0.0,f,15-24
137,AD,2008,0.0,f,25-34
138,AD,2008,1.0,f,35-44
139,AD,2008,1.0,f,45-54
140,AD,2008,0.0,f,55-64
141,AD,2008,0.0,f,65
142,AD,2008,0.0,f,unknown
143,AD,2008,0.0,m,0-14
144,AD,2008,0.0,m,15-24
145,AD,2008,0.0,m,25-34
146,AD,2008,0.0,m,35-44
147,AD,2008,1.0,m,45-54
148,AD,2008,0.0,m,55-64
149,AD,2008,0.0,m,65
150,AD,2008,0.0,m,unknown
151,AE,1999,9.0,f,0-14
152,AE,1999,11.0,f,15-24
153,AE,1999,5.0,f,25-34
154,AE,1999,3.0,f,35-44
155,AE,1999,0.0,f,45-54
156,AE,1999,3.0,f,55-64
157,AE,1999,2.0,f,65
158,AE,1999,4.0,m,0-14
159,AE,1999,9.0,m,15-24
160,AE,1999,3.0,m,25-34
161,AE,1999,2.0,m,35-44
162,AE,1999,4.0,m,45-54
163,AE,1999,6.0,m,55-64
164,AE,1999,5.0,m,65
165,AE,2000,3.0,f,0-14
166,AE,2000,16.0,f,15-24
167,AE,2000,1.0,f,25-34
168,AE,2000,3.0,f,35-44
169,AE,2000,0.0,f,45-54
170,AE,2000,0.0,f,55-64
171,AE,2000,4.0,f,65
172,AE,2000,2.0,m,0-14
173,AE,2000,4.0,m,15-24
174,AE,2000,4.0,m,25-34
175,AE,2000,6.0,m,35-44
176,AE,2000,5.0,m,45-54
177,AE,2000,12.0,m,55-64
178,AE,2000,10.0,m,65
179,AE,2002,3.0,f,0-14
180,AE,2002,3.0,f,15-24
181,AE,2002,8.0,f,25-34
182,AE,2002,3.0,f,35-44
